"Supplementary Table 2: NIRVS found in nine arthropod genomes. Following a reciprocal tBLASTn search against the NCBI non-redundant database, details of the virus of origin for each NIRVS were collated using published and unpublished metadata. Possible false positive hits are highlighted in yellow and have not been included in final NIRVS counts elsewhere in the manuscript.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Aedes aegypti chromosome 1,,,,,,,,,,,,,,,
NW_017856327,NW_017856327_3,2316207,2315521,686,60.00%,KR003785,"Phasi Charoen-like virus isolate Rio segment S Nucleocapsid gene, complete cds",1.54E-88,V,Phenuviridae,Mononegavirales,Goukovirus,,Nucleoprotein,Structural
NW_017857359,NW_017857359_4,1783512,1782811,701,66.40%,KM001087,"Phasi Charoen-like virus nucleocapsid gene, complete cds",5.80E-105,V,Phenuviridae,Mononegavirales,Goukovirus,,Nucleoprotein,Structural
NW_017857486,NW_017857486_1,3449673,3450359,686,59.60%,KR003785,"Phasi Charoen-like virus isolate Rio segment S Nucleocapsid gene, complete cds",2.93E-88,V,Phenuviridae,Mononegavirales,Goukovirus,,Nucleoprotein,Structural
NW_017857590,NW_017857590_4,3582535,3581258,1277,44.00%,KX951489,"Merida-like virus KE-2017a isolate 139-1-21, complete genome",1.12E-99,V,Rhabdoviridae,Mononegavirales,Unassigned,,L,Non-structural
NW_017857938,NW_017857938_2,906961,905165,1796,44.60%,KX951489,"Merida-like virus KE-2017a isolate 139-1-21, complete genome",2.14E-160,V,Rhabdoviridae,Mononegavirales,Unassigned,,L,Non-structural
NW_017857590,NW_017857590_1,5062390,5061206,1184,55.30%,KX951489,"Merida-like virus KE-2017a isolate 139-1-21, complete genome",9.03E-131,V,Rhabdoviridae,Mononegavirales,Unassigned,,L,Non-structural
NW_017857938,NW_017857938_1,906889,905756,1133,52.90%,KX951489,"Merida-like virus KE-2017a isolate 139-1-21, complete genome",4.86E-124,V,Rhabdoviridae,Mononegavirales,Unassigned,,L,Non-structural
NW_017856061,NW_017856061_1,2461172,2460375,797,28.30%,MF960874,"Ictalurid rhabdovirus isolate IcRV/I.melas/I/3314/2001 glycoprotein gene, complete cds",1.51E-28,V,Rhabdoviridae,Mononegavirales,Spirivirus,,Glycoprotein,Structural
NW_017856250,NW_017856250_3,1413654,1413235,419,39.70%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",1.16E-25,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017856250,NW_017856250_4,1411247,1410828,419,39.10%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",8.97E-27,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017856250,NW_017856250_6,45213,44623,590,38.30%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",2.31E-35,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017856327,NW_017856327_2,2340488,2339754,734,27.50%,KX884423,"Hubei dimarhabdovirus virus 3 strain QTM26149 putative nucleoprotein, hypothetical protein 2, hypothetical protein 3, putative glycoprotein, and RNA-dependent RNA polymerase genes, complete cds",3.53E-19,V,Rhabdoviridae,Mononegavirales,Unassigned,Dimarhabdovirus-like,Nucleoprotein,Structural
NW_017856566,NW_017856566_1,218692,217691,1001,25.50%,MF882997,"Merida-like virus Turkey isolate P431, complete genome",5.08E-17,V,Rhabdoviridae,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856727,NW_017856727_5,343775,343548,227,38.00%,KY768856,"Ohlsdorf virus strain Germany/2012/Oc.cantans, complete genome",3.42E-09,V,Rhabdoviridae,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856732,NW_017856732,21857,21471,386,44.60%,KF360973,"North Creek virus RNA dependent RNA polymerase (L) gene, complete cds",1.38E-16,V,Rhabdoviridae,Mononegavirales,Unassigned,Dimarhabdovirus group,L,Non-structural
NW_017857039,NW_017857039,1695183,1694869,314,34.60%,KM817659,"Wuhan Mosquito Virus 9 strain JX1-13 ORF1 (ORF1), ORF2 (ORF2), ORF3 (ORF3), glycoprotein (G), and RNA-dependent RNA polymerases genes, complete cds",2.42E-11,V,Rhabdoviridae,Mononegavirales,Unassigned,,ORF1,ND
NW_017857054,NW_017857054_1,2554582,2554112,470,38.70%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",8.73E-19,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857065,NW_017857065_2,4668343,4668227,116,40.50%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",2.88E-04,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857065,NW_017857065_3,4668233,4667982,251,42.60%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",2.90E-06,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857068,NW_017857068,144142,143636,506,30.00%,KU248085,"Riverside virus 1 strain RISV-Drava 1, complete genome",1.35E-09,V,Rhabdoviridae,Mononegavirales,Unassigned,Dimarhabdovirus group,Nucleoprotein,Structural
NW_017857075,NW_017857075_1,3230125,3229910,215,6.39E-10,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",6.39E-10,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857075,NW_017857075_2,3229908,3229594,314,38.50%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",3.19E-15,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857075,NW_017857075_3,3195462,3195154,308,37.50%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",5.36E-13,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857093,NW_017857093,6621892,6621290,602,39.70%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",1.14E-39,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857103,NW_017857103_2,2213945,2213226,719,60.00%,KU194360,"Merida virus isolate MERD-Mex07, complete genome",4.14E-80,V,Rhabdoviridae,Mononegavirales,Unassigned,,L,Non-structural
NW_017857124,NW_017857124_11,405079,404699,380,41.50%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",7.42E-24,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857124,NW_017857124_12,402729,402310,419,39.70%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",8.45E-27,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857124,NW_017857124_5,984711,984917,206,43.90%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",7.86E-11,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857124,NW_017857124_8,887331,888149,818,31.40%,KU194360,"Merida virus isolate MERD-Mex07, complete genome",1.26E-31,V,Rhabdoviridae,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857124,NW_017857124_9,414026,413793,233,43.90%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",1.76E-09,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857133,NW_017857133_1,448535,448777,242,32.90%,KM205006,"Le Dantec virus nucleoprotein, phosphoprotein, matrix, glycoprotein, hypothetical protein, and polymerase genes, complete cds",7.33E-11,V,Rhabdoviridae,Mononegavirales,Ledantevirus,,Glycoprotein,Structural
NW_017857264,NW_017857264,299054,298779,275,41.30%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",1.06E-11,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857268,NW_017857268_2,4526449,4526069,380,38.20%,KU248085,"Riverside virus 1 strain RISV-Drava 1, complete genome",2.02E-12,V,Rhabdoviridae,Mononegavirales,Unassigned,Dimarhabdovirus group,L,Non-structural
NW_017857308,NW_017857308_1,4913186,4913710,524,49.40%,MF344591,"Lobeira virus nucleoprotein (N) gene, partial cds",2.02E-18,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857308,NW_017857308_2,4913009,4913470,461,44.40%,MF344591,"Lobeira virus nucleoprotein (N) gene, partial cds",3.11E-28,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857341,NW_017857341_1,5486565,5486338,227,48.50%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",3.42E-11,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857341,NW_017857341_2,5484603,5484376,227,48.50%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",4.37E-11,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857359,NW_017857359_1,1884200,1883598,602,39.20%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",4.09E-38,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857359,NW_017857359_2,1877562,1876972,590,38.70%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",1.77E-36,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857359,NW_017857359_3,1844232,1843642,590,39.20%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",7.12E-36,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857390,NW_017857390_1,2384475,2384996,521,41.60%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",1.93E-35,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857390,NW_017857390_2,2335065,2335598,533,38.80%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",3.95E-34,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857396,NW_017857396_2,3545320,3544922,398,42.20%,LC026102,"Culex tritaeniorhynchus rhabdovirus viral cRNA, complete genome, strain: GHK",2.57E-25,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857467,NW_017857467_1,207739,208443,704,25.20%,JF502614,"Rhabdovirus 024698 glycoprotein gene, complete cds",4.32E-23,V,Rhabdoviridae,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857467,NW_017857467_5,155863,157113,1250,27.70%,KP324827,"Ekpoma virus 1 isolate EKV-1, partial genome",3.96E-36,V,Rhabdoviridae,Mononegavirales,Tibrovirus,,Nucleoprotein,Structural
NW_017857476,NW_017857476_1,8252267,8252956,689,74.30%,KY768859,"Ohlsdorf virus strain Kuehkopf/2013/Oc.cantans/7606 polymerase-associated protein (L) gene, complete cds",1.28E-117,V,Rhabdoviridae,Mononegavirales,Unassigned,,L,Non-structural
NW_017857486,NW_017857486_3,3432681,3433445,764,28.80%,U10363,"Adelaide River virus DPP61 nucleoprotein N gene, complete cds",5.43E-24,V,Rhabdoviridae,Mononegavirales,Ephemerovirus,,Nucleoprotein,Structural
NW_017857555,NW_017857555_1,7797977,7796670,1307,30.10%,KU248086,"Riverside virus 1 strain RISV-Danube 1, partial genome",2.15E-48,V,Rhabdoviridae,Mononegavirales,Unassigned,Dimarhabdovirus group,Nucleoprotein,Structural
NW_017857590,NW_017857590_3,3583734,3582652,1082,62.70%,KU194360,"Merida virus isolate MERD-Mex07, complete genome",2.51E-140,V,Rhabdoviridae,Mononegavirales,Unassigned,,L,Non-structural
NW_017857664,NW_017857664_2,398741,399322,581,31.40%,MF196238,"Vesicular stomatitis New Jersey virus isolate NJ1007CPB, complete genome",1.14E-19,V,Rhabdoviridae,Mononegavirales,Vesiculovirus,,Nucleoprotein,Structural
NW_017857712,NW_017857712_1,1734560,1735003,443,36.10%,MG600013,"Wuhan redfin culter dimarhabodovirus strain DSYS6218 nucleoprotein, hypothetical protein, matrix protein, glycoprotein, and L protein genes, complete cds",4.84E-18,V,Rhabdoviridae,Mononegavirales,Unassigned,Dimarhabdovirus group,Glycoprotein,Structural
NW_017857712,NW_017857712_11,1643837,1644946,1109,27.20%,KM204997,"Sweetwater Branch virus nucleoprotein, phosphoprotein, matrix, hypothetical proteins, glycoprotein, hypothetical protein, and polymerase genes, complete cds",5.20E-30,V,Rhabdoviridae,Mononegavirales,Tibrovirus,,Nucleoprotein,Structural
NW_017857712,NW_017857712_12,562966,562331,635,36.40%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",5.25E-39,V,Rhabdoviridae,Mononegavirales,,,Nucleoprotein,Structural
NW_017857712,NW_017857712_3,1733266,1733733,467,32.30%,KC113518,"Grass carp rhabdovirus V76, complete genome",1.61E-17,V,Rhabdoviridae,Mononegavirales,Spirivirus,,Glycoprotein,Structural
NW_017857769,NW_017857769_1,3696093,3695071,1022,27.80%,KM204997,"Sweetwater Branch virus nucleoprotein, phosphoprotein, matrix, hypothetical proteins, glycoprotein, hypothetical protein, and polymerase genes, complete cds",1.02E-29,V,Rhabdoviridae,Mononegavirales,Tibrovirus,,Nucleoprotein,Structural
NW_017857769,NW_017857769_2,3690276,3689167,1109,28.10%,KM205019,"Bivens Arm virus nucleoprotein, phosphoprotein, matrix, hypothetical proteins, glycoprotein, hypothetical protein, and polymerase genes, complete cds",0.00E+00,V,Rhabdoviridae,Mononegavirales,Tibrovirus,,Nucleoprotein,Structural
NW_017857770,NW_017857770_2,1685967,1686554,587,67.30%,KX343071,"Benxi bat virus strain GH1 polymerase protein (L) gene, partial cds",3.14E-92,V,Rhabdoviridae,Mononegavirales,Vesiculovirus,,L,Non-structural
NW_017857770,NW_017857770_3,1685437,1684319,1118,51.70%,KX951489,"Merida-like virus KE-2017a isolate 139-1-21, complete genome",8.66E-79,V,Rhabdoviridae,Mononegavirales,Unassigned,,L,Non-structural
NW_017857787,NW_017857787_4,1157793,1158206,413,37.40%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",4.36E-23,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857787,NW_017857787_5,1113917,1114204,287,39.60%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",4.73E-13,V,Rhabdoviridae,Mononegavirales,Unassigned,,Nucleoprotein,Structural
NW_017857927,NW_017857927_1,368182,367223,959,42.20%,KU194360,"Merida virus isolate MERD-Mex07, complete genome",2.55E-66,V,Rhabdoviridae,Mononegavirales,Unassigned,,L,Non-structural
NW_017856305,NW_017856305,891494,893419,1925,75.10%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856407,NW_017856407,1027689,1029614,1925,75.10%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857706,NW_017857706_2,1506866,1504893,1973,75.10%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856292,NW_017856292_3,828909,827047,1862,70.20%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857549,NW_017857549,1662591,1660729,1862,70.50%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856040,NW_017856040,2242440,2244293,1853,99.20%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017856042,NW_017856042,7682273,7684222,1949,98.60%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017856044,NW_017856044,5377434,5375488,1946,98.90%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017856195,NW_017856195,1345887,1343938,1949,99.60%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017856287,NW_017856287,1181041,1182990,1949,99.60%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017856318,NW_017856318_1,4783878,4781929,1949,99.30%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017856431,NW_017856431,1007751,1009700,1949,98.20%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017856472,NW_017856472,590448,588499,1949,98.90%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017856927,NW_017856927_1,1286355,1284406,1949,100%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017856928,NW_017856928_1,2382541,2384487,1946,99.60%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017857046,NW_017857046_2,913142,915091,1949,99.30%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017857060,NW_017857060,2980563,2982512,1949,100.00%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017857224,NW_017857224_2,7248596,7246692,1904,99.60%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017857246,NW_017857246,174926,172980,1946,100.00%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017857247,NW_017857247_1,11870263,11868314,1949,99.60%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017857318,NW_017857318,7255288,7257234,1946,99.30%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017857364,NW_017857364,893636,891687,1949,98.20%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017857379,NW_017857379,3840735,3838786,1949,99.60%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017857412,NW_017857412,1034888,1032942,1946,99.30%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017857502,NW_017857502,3645963,3647909,1946,99.30%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017857555,NW_017857555_3,19829,17880,1949,100.00%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017857611,NW_017857611,5575015,5576958,1943,98.60%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017857650,NW_017857650,590904,592850,1946,99.60%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017857711,NW_017857711,1733349,1731403,1946,99.30%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017857762,NW_017857762,2224736,2226685,1949,99.60%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017857781,NW_017857781,827111,829060,1949,100%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017857971,NW_017857971,857807,859756,1949,98.90%,KT966484,"Guato virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,Chuvirus-like,Glycoprotein,Structural
NW_017856504,NW_017856504,1219423,1217531,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857076,NW_017857076,1951025,1952908,1883,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",2.66E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856036,NW_017856036,4470796,4468904,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.88E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856037,NW_017856037_1,528544,530436,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856052,NW_017856052,394258,396150,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.88E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856108,NW_017856108_1,899582,901474,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856142,NW_017856142,6767560,6765668,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856300,NW_017856300,2264604,2266496,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856312,NW_017856312,1680659,1678767,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856318,NW_017856318_2,3129423,3127531,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856330,NW_017856330,1164333,1162441,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856345,NW_017856345,475958,477850,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856449,NW_017856449,1704528,1706420,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856468,NW_017856468,1548213,1550105,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.96E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856480,NW_017856480,35982,37874,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856482,NW_017856482_3,2412858,2414750,1892,67.30%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",1.40E-177,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856506,NW_017856506,1319010,1317118,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856537,NW_017856537,486889,484997,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856554,NW_017856554,656345,658237,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",4.23E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856594,NW_017856594,379508,377616,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856706,NW_017856706,278947,280839,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856715,NW_017856715,162948,164840,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",4.41E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017856984,NW_017856984,461445,463337,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857118,NW_017857118,1452014,1450122,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857121,NW_017857121_2,6588,4696,1892,66.70%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",6.27E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857137,NW_017857137,2167960,2166068,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.75E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857206,NW_017857206,339867,341759,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.88E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
NW_017857224,NW_017857224_1,6601103,6602995,1892,67.00%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",3.87E-178,V,Unassigned,Mononegavirales,Unassigned,,Glycoprotein,Structural
