Table S5: BLASTp results generated by querying a protein with a Nidovirus-like domain present in dipteran species against the nr database. Results are sorted by E-value.,,,,,,,
,,,,,,,
Aedes aegypti,,,,,,,
,,,,,,,
Name,% Pairwise Identity,Accession,Description,E Value,Sequence length (aa),Organism,Query
XP_023712227,33.60%,XP_023712227,uncharacterized protein LOC111867008 isoform X2 [Cryptotermes secundus],2.40E-12,135,Cryptotermes secundus,AAAB01008807 - AGAP007003-PA CDS translation
XP_023712226,33.60%,XP_023712226,uncharacterized protein LOC111867008 isoform X1 [Cryptotermes secundus],2.73E-12,135,Cryptotermes secundus,AAAB01008807 - AGAP007003-PA CDS translation
XP_017021209,29.40%,XP_017021209,PREDICTED: uncharacterized protein LOC108073923 [Drosophila kikkawai],7.90E-12,190,Drosophila kikkawai,AAAB01008807 - AGAP007003-PA CDS translation
XP_011554942,35.80%,XP_011554942,PREDICTED: uncharacterized protein LOC105386138 isoform X2 [Plutella xylostella],9.61E-11,125,Plutella xylostella,AAAB01008807 - AGAP007003-PA CDS translation
XP_011340523,24.40%,XP_011340523,PREDICTED: uncharacterized protein LOC105281176 isoform X2 [Ooceraea biroi],3.06E-10,256,Ooceraea biroi,AAAB01008807 - AGAP007003-PA CDS translation
XP_011554940,32.10%,XP_011554940,PREDICTED: uncharacterized protein LOC105386138 isoform X1 [Plutella xylostella],3.92E-10,145,Plutella xylostella,AAAB01008807 - AGAP007003-PA CDS translation
XP_011340522,24.70%,XP_011340522,PREDICTED: uncharacterized protein LOC105281176 isoform X1 [Ooceraea biroi],5.95E-10,256,Ooceraea biroi,AAAB01008807 - AGAP007003-PA CDS translation
XP_022204590,26.50%,XP_022204590,uncharacterized protein LOC111061212 isoform X1 [Nilaparvata lugens],9.35E-10,188,Nilaparvata lugens,AAAB01008807 - AGAP007003-PA CDS translation
XP_022204591,26.50%,XP_022204591,uncharacterized protein LOC111061212 isoform X2 [Nilaparvata lugens],1.03E-09,188,Nilaparvata lugens,AAAB01008807 - AGAP007003-PA CDS translation
XP_015037028,37.70%,XP_015037028,uncharacterized protein Dpse_GA26426 [Drosophila pseudoobscura pseudoobscura],1.27E-09,106,Drosophila pseudoobscura,AAAB01008807 - AGAP007003-PA CDS translation
XP_026467019,24.90%,XP_026467019,uncharacterized protein LOC113370551 isoform X2 [Ctenocephalides felis],2.30E-09,180,Ctenocephalides felis,AAAB01008807 - AGAP007003-PA CDS translation
XP_026467018,24.60%,XP_026467018,uncharacterized protein LOC113370551 isoform X1 [Ctenocephalides felis],4.20E-09,176,Ctenocephalides felis,AAAB01008807 - AGAP007003-PA CDS translation
XP_022127824,33.30%,XP_022127824,uncharacterized protein LOC111002024 isoform X3 [Pieris rapae],1.85E-08,96,Pieris rapae,AAAB01008807 - AGAP007003-PA CDS translation
XP_018799442,30.90%,XP_018799442,PREDICTED: uncharacterized protein LOC108975420 isoform X2 [Bactrocera latifrons],2.29E-08,139,Bactrocera latifrons,AAAB01008807 - AGAP007003-PA CDS translation
XP_022127809,33.30%,XP_022127809,uncharacterized protein LOC111002024 isoform X1 [Pieris rapae],3.26E-08,96,Pieris rapae,AAAB01008807 - AGAP007003-PA CDS translation
XP_022127815,33.30%,XP_022127815,uncharacterized protein LOC111002024 isoform X2 [Pieris rapae],3.30E-08,96,Pieris rapae,AAAB01008807 - AGAP007003-PA CDS translation
XP_008197566,21.90%,XP_008197566,PREDICTED: uncharacterized protein LOC662064 isoform X1 [Tribolium castaneum],7.20E-08,221,Tribolium castaneum,AAAB01008807 - AGAP007003-PA CDS translation
EFA10122,21.90%,EFA10122,hypothetical protein TcasGA2_TC012302 [Tribolium castaneum],7.40E-08,221,Tribolium castaneum,AAAB01008807 - AGAP007003-PA CDS translation
XP_022190995,27.30%,XP_022190995,uncharacterized protein LOC111049268 [Nilaparvata lugens],8.00E-08,165,Nilaparvata lugens,AAAB01008807 - AGAP007003-PA CDS translation
XP_976409,21.90%,XP_976409,PREDICTED: uncharacterized protein LOC662064 isoform X2 [Tribolium castaneum],8.36E-08,221,Tribolium castaneum,AAAB01008807 - AGAP007003-PA CDS translation
XP_026323722,32.40%,XP_026323722,uncharacterized protein LOC113233005 isoform X2 [Hyposmocoma kahamanoa],8.56E-08,105,Hyposmocoma kahamanoa,AAAB01008807 - AGAP007003-PA CDS translation
XP_026323720,32.40%,XP_026323720,uncharacterized protein LOC113233005 isoform X1 [Hyposmocoma kahamanoa],8.66E-08,105,Hyposmocoma kahamanoa,AAAB01008807 - AGAP007003-PA CDS translation
XP_024844686,32.00%,XP_024844686,LOW QUALITY PROTEIN: interleukin enhancer-binding factor 2 homolog [Bos taurus],9.92E-08,100,Bos taurus,AAAB01008807 - AGAP007003-PA CDS translation
XP_012245532,24.40%,XP_012245532,uncharacterized protein LOC100740271 isoform X2 [Bombus impatiens],2.96E-07,174,Bombus impatiens,AAAB01008807 - AGAP007003-PA CDS translation
XP_012245533,24.40%,XP_012245533,uncharacterized protein LOC100740271 isoform X3 [Bombus impatiens],3.70E-07,174,Bombus impatiens,AAAB01008807 - AGAP007003-PA CDS translation
XP_012245531,24.40%,XP_012245531,uncharacterized protein LOC100740271 isoform X1 [Bombus impatiens],3.89E-07,174,Bombus impatiens,AAAB01008807 - AGAP007003-PA CDS translation
XP_012163625,23.70%,XP_012163625,uncharacterized protein LOC100644364 isoform X4 [Bombus terrestris],6.99E-07,184,Bombus terrestris,AAAB01008807 - AGAP007003-PA CDS translation
XP_012163623,24.40%,XP_012163623,uncharacterized protein LOC100644364 isoform X2 [Bombus terrestris],7.66E-07,174,Bombus terrestris,AAAB01008807 - AGAP007003-PA CDS translation
XP_003395262,23.70%,XP_003395262,uncharacterized protein LOC100644364 isoform X1 [Bombus terrestris],7.72E-07,184,Bombus terrestris,AAAB01008807 - AGAP007003-PA CDS translation
XP_012163626,24.40%,XP_012163626,uncharacterized protein LOC100644364 isoform X5 [Bombus terrestris],8.79E-07,174,Bombus terrestris,AAAB01008807 - AGAP007003-PA CDS translation
XP_012163624,23.70%,XP_012163624,uncharacterized protein LOC100644364 isoform X3 [Bombus terrestris],9.68E-07,184,Bombus terrestris,AAAB01008807 - AGAP007003-PA CDS translation
KRT83002,25.20%,KRT83002,"hypothetical protein AMK59_4127, partial [Oryctes borbonicus]",2.48E-06,128,Oryctes borbonicus,AAAB01008807 - AGAP007003-PA CDS translation
PBC26050,23.10%,PBC26050,hypothetical protein APICC_04848 [Apis cerana cerana],3.19E-06,184,Apis cerana,AAAB01008807 - AGAP007003-PA CDS translation
XP_012342865,22.70%,XP_012342865,PREDICTED: LOW QUALITY PROTEIN: probable serine/threonine-protein kinase DDB_G0278845 [Apis florea],3.95E-06,185,Apis florea,AAAB01008807 - AGAP007003-PA CDS translation
XP_012286614,24.70%,XP_012286614,uncharacterized protein LOC105703089 [Orussus abietinus],4.08E-06,187,Orussus abietinus,AAAB01008807 - AGAP007003-PA CDS translation
XP_015916521,26.70%,XP_015916521,torsin-1A-interacting protein 2 isoform X1 [Parasteatoda tepidariorum],4.76E-06,222,Parasteatoda tepidariorum,AAAB01008807 - AGAP007003-PA CDS translation
,,,,,,,
Drosophila melanogaster,,,,,,,
,,,,,,,
Name,% Pairwise Identity,Accession,Description,E Value,Sequence length (aa),Organism,Query
ADB04944,100.00%,ADB04944,MIP14162p [Drosophila melanogaster],0,317,Drosophila melanogaster,NT_037436 - CG7504 CDS translation
EDW76713,54.80%,EDW76713,uncharacterized protein Dwil_GK19858 [Drosophila willistoni],0,974,Drosophila willistoni,NT_037436 - CG7504 CDS translation
EDX09645,92.70%,EDX09645,GD13018 [Drosophila simulans],0,1417,Drosophila simulans,NT_037436 - CG7504 CDS translation
NP_648177,100.00%,NP_648177,"uncharacterized protein Dmel_CG7504, isoform C [Drosophila melanogaster]",0,1417,Drosophila melanogaster,NT_037436 - CG7504 CDS translation
NP_001137907,95.50%,NP_001137907,"uncharacterized protein Dmel_CG7504, isoform B [Drosophila melanogaster]",0,1053,Drosophila melanogaster,NT_037436 - CG7504 CDS translation
NP_001137907,94.00%,NP_001137907,"uncharacterized protein Dmel_CG7504, isoform B [Drosophila melanogaster]",0,451,Drosophila melanogaster,NT_037436 - CG7504 CDS translation
SPP87179,57.10%,SPP87179,blast:Uncharacterized ATP-dependent helicase C29A10.10c [Drosophila guanche],0,976,Drosophila guanche,NT_037436 - CG7504 CDS translation
XP_001354266,58.10%,XP_001354266,"uncharacterized protein Dpse_GA20398, isoform C [Drosophila pseudoobscura pseudoobscura]",0,978,Drosophila pseudoobscura,NT_037436 - CG7504 CDS translation
XP_001957574,65.60%,XP_001957574,"uncharacterized protein Dana_GF10480, isoform A [Drosophila ananassae]",0,991,Drosophila ananassae,NT_037436 - CG7504 CDS translation
XP_001971366,84.50%,XP_001971366,uncharacterized protein Dere_GG14918 [Drosophila erecta],0,1013,Drosophila erecta,NT_037436 - CG7504 CDS translation
XP_001971366,73.10%,XP_001971366,uncharacterized protein Dere_GG14918 [Drosophila erecta],0,451,Drosophila erecta,NT_037436 - CG7504 CDS translation
XP_001983946,53.50%,XP_001983946,GH15286 [Drosophila grimshawi],0,1009,Drosophila grimshawi,NT_037436 - CG7504 CDS translation
XP_002008126,56.60%,XP_002008126,uncharacterized protein Dmoj_GI11996 [Drosophila mojavensis],0,977,Drosophila mojavensis,NT_037436 - CG7504 CDS translation
XP_002012907,39.60%,XP_002012907,GL23672 [Drosophila persimilis],0,1202,Drosophila persimilis,NT_037436 - CG7504 CDS translation
XP_002029667,92.30%,XP_002029667,GM24969 [Drosophila sechellia],0,1417,Drosophila sechellia,NT_037436 - CG7504 CDS translation
XP_002046923,57.40%,XP_002046923,uncharacterized protein Dvir_GJ12221 [Drosophila virilis],0,995,Drosophila virilis,NT_037436 - CG7504 CDS translation
XP_002094125,87.50%,XP_002094125,uncharacterized protein Dyak_GE20371 [Drosophila yakuba],0,1013,Drosophila yakuba,NT_037436 - CG7504 CDS translation
XP_002094125,80.40%,XP_002094125,uncharacterized protein Dyak_GE20371 [Drosophila yakuba],0,434,Drosophila yakuba,NT_037436 - CG7504 CDS translation
XP_004523816,33.50%,XP_004523816,uncharacterized protein LOC101462329 [Ceratitis capitata],0,1320,Ceratitis capitata,NT_037436 - CG7504 CDS translation
XP_011195674,36.80%,XP_011195674,PREDICTED: uncharacterized protein LOC105220843 [Zeugodacus cucurbitae],0,1061,Zeugodacus cucurbitae,NT_037436 - CG7504 CDS translation
XP_011292681,42.60%,XP_011292681,PREDICTED: uncharacterized protein LOC101893648 [Musca domestica],0,839,Musca domestica,NT_037436 - CG7504 CDS translation
XP_013106748,36.80%,XP_013106748,PREDICTED: probable helicase senataxin [Stomoxys calcitrans],0,1200,Stomoxys calcitrans,NT_037436 - CG7504 CDS translation
XP_014085144,34.90%,XP_014085144,PREDICTED: uncharacterized protein LOC106614118 [Bactrocera oleae],0,1228,Bactrocera oleae,NT_037436 - CG7504 CDS translation
XP_015042462,58.00%,XP_015042462,"uncharacterized protein Dpse_GA20398, isoform B [Drosophila pseudoobscura pseudoobscura]",0,776,Drosophila pseudoobscura,NT_037436 - CG7504 CDS translation
XP_016030922,92.60%,XP_016030922,"uncharacterized protein Dsimw501_GD13018, isoform B [Drosophila simulans]",0,1011,Drosophila simulans,NT_037436 - CG7504 CDS translation
XP_016030922,82.30%,XP_016030922,"uncharacterized protein Dsimw501_GD13018, isoform B [Drosophila simulans]",0,436,Drosophila simulans,NT_037436 - CG7504 CDS translation
XP_016030923,92.60%,XP_016030923,"uncharacterized protein Dsimw501_GD13018, isoform C [Drosophila simulans]",0,1011,Drosophila simulans,NT_037436 - CG7504 CDS translation
XP_016030923,87.50%,XP_016030923,"uncharacterized protein Dsimw501_GD13018, isoform C [Drosophila simulans]",0,438,Drosophila simulans,NT_037436 - CG7504 CDS translation
XP_016933800,74.50%,XP_016933800,PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC108012846 [Drosophila suzukii],0,988,Drosophila suzukii,NT_037436 - CG7504 CDS translation
XP_016965727,75.30%,XP_016965727,PREDICTED: uncharacterized protein LOC108034952 [Drosophila biarmipes],0,985,Drosophila biarmipes,NT_037436 - CG7504 CDS translation
XP_016971350,75.80%,XP_016971350,PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC108038963 [Drosophila rhopaloa],0,997,Drosophila rhopaloa,NT_037436 - CG7504 CDS translation
XP_017011857,74.70%,XP_017011857,PREDICTED: helicase SEN1 [Drosophila takahashii],0,995,Drosophila takahashii,NT_037436 - CG7504 CDS translation
XP_017016613,62.70%,XP_017016613,PREDICTED: uncharacterized protein LOC108070572 [Drosophila kikkawai],0,979,Drosophila kikkawai,NT_037436 - CG7504 CDS translation
XP_017016614,61.80%,XP_017016614,PREDICTED: uncharacterized protein LOC108070573 isoform X1 [Drosophila kikkawai],0,1015,Drosophila kikkawai,NT_037436 - CG7504 CDS translation
XP_017016615,55.20%,XP_017016615,PREDICTED: uncharacterized protein LOC108070573 isoform X2 [Drosophila kikkawai],0,1474,Drosophila kikkawai,NT_037436 - CG7504 CDS translation
XP_017053393,74.10%,XP_017053393,PREDICTED: uncharacterized protein LOC108096355 [Drosophila ficusphila],0,987,Drosophila ficusphila,NT_037436 - CG7504 CDS translation
XP_017074121,77.20%,XP_017074121,PREDICTED: probable helicase senataxin [Drosophila eugracilis],0,984,Drosophila eugracilis,NT_037436 - CG7504 CDS translation
XP_017100362,54.50%,XP_017100362,PREDICTED: uncharacterized protein LOC108127676 isoform X1 [Drosophila bipectinata],0,677,Drosophila bipectinata,NT_037436 - CG7504 CDS translation
XP_017127694,74.60%,XP_017127694,PREDICTED: uncharacterized protein LOC108146266 [Drosophila elegans],0,1001,Drosophila elegans,NT_037436 - CG7504 CDS translation
XP_017136075,57.60%,XP_017136075,PREDICTED: uncharacterized ATP-dependent helicase C29A10.10c-like [Drosophila miranda],0,978,Drosophila miranda,NT_037436 - CG7504 CDS translation
XP_017464920,36.70%,XP_017464920,PREDICTED: helicase SEN1 isoform X1 [Rhagoletis zephyria],0,1053,Rhagoletis zephyria,NT_037436 - CG7504 CDS translation
XP_017464921,32.80%,XP_017464921,PREDICTED: helicase SEN1 isoform X2 [Rhagoletis zephyria],0,1407,Rhagoletis zephyria,NT_037436 - CG7504 CDS translation
XP_017464922,32.80%,XP_017464922,PREDICTED: helicase SEN1 isoform X3 [Rhagoletis zephyria],0,1406,Rhagoletis zephyria,NT_037436 - CG7504 CDS translation
XP_017840111,53.60%,XP_017840111,PREDICTED: probable helicase senataxin [Drosophila busckii],0,979,Drosophila busckii,NT_037436 - CG7504 CDS translation
XP_017864343,56.80%,XP_017864343,PREDICTED: probable helicase senataxin [Drosophila arizonae],0,977,Drosophila arizonae,NT_037436 - CG7504 CDS translation
XP_017958110,53.40%,XP_017958110,PREDICTED: uncharacterized protein LOC108652433 [Drosophila navojoa],0,1032,Drosophila navojoa,NT_037436 - CG7504 CDS translation
XP_018788068,36.00%,XP_018788068,PREDICTED: uncharacterized protein LOC108968472 [Bactrocera latifrons],0,1059,Bactrocera latifrons,NT_037436 - CG7504 CDS translation
XP_020814710,59.30%,XP_020814710,uncharacterized protein LOC110189080 [Drosophila serrata],0,1021,Drosophila serrata,NT_037436 - CG7504 CDS translation
XP_020814712,60.40%,XP_020814712,uncharacterized protein LOC110189082 [Drosophila serrata],0,1037,Drosophila serrata,NT_037436 - CG7504 CDS translation
XP_022222922,49.90%,XP_022222922,LOW QUALITY PROTEIN: uncharacterized protein LOC111074444 [Drosophila obscura],0,976,Drosophila obscura,NT_037436 - CG7504 CDS translation
XP_022231025,57.20%,XP_022231025,uncharacterized protein LOC111079982 isoform X1 [Drosophila obscura],0,848,Drosophila obscura,NT_037436 - CG7504 CDS translation
XP_023031933,56.90%,XP_023031933,uncharacterized protein LOC6643077 isoform X1 [Drosophila willistoni],0,805,Drosophila willistoni,NT_037436 - CG7504 CDS translation
XP_023031934,56.90%,XP_023031934,uncharacterized protein LOC6643077 isoform X2 [Drosophila willistoni],0,805,Drosophila willistoni,NT_037436 - CG7504 CDS translation
XP_023174172,57.20%,XP_023174172,uncharacterized protein LOC111601693 [Drosophila hydei],0,972,Drosophila hydei,NT_037436 - CG7504 CDS translation
XP_023293655,39.40%,XP_023293655,probable helicase senataxin [Lucilia cuprina],0,907,Lucilia cuprina,NT_037436 - CG7504 CDS translation
XP_016965727,61.90%,XP_016965727,PREDICTED: uncharacterized protein LOC108034952 [Drosophila biarmipes],2.28E-169,456,Drosophila biarmipes,NT_037436 - CG7504 CDS translation
XP_017011857,61.50%,XP_017011857,PREDICTED: helicase SEN1 [Drosophila takahashii],1.14E-167,452,Drosophila takahashii,NT_037436 - CG7504 CDS translation
XP_016933800,64.40%,XP_016933800,PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC108012846 [Drosophila suzukii],1.32E-167,442,Drosophila suzukii,NT_037436 - CG7504 CDS translation
XP_015038776,45.10%,XP_015038776,"uncharacterized protein Dpse_GA26696, isoform B [Drosophila pseudoobscura pseudoobscura]",2.20E-165,763,Drosophila pseudoobscura,NT_037436 - CG7504 CDS translation
XP_002137202,45.10%,XP_002137202,"uncharacterized protein Dpse_GA26696, isoform C [Drosophila pseudoobscura pseudoobscura]",2.74E-165,763,Drosophila pseudoobscura,NT_037436 - CG7504 CDS translation
XP_017140822,47.10%,XP_017140822,PREDICTED: helicase sen1-like [Drosophila miranda],2.07E-156,650,Drosophila miranda,NT_037436 - CG7504 CDS translation
XP_017127694,63.10%,XP_017127694,PREDICTED: uncharacterized protein LOC108146266 [Drosophila elegans],1.93E-151,420,Drosophila elegans,NT_037436 - CG7504 CDS translation
XP_017074121,56.80%,XP_017074121,PREDICTED: probable helicase senataxin [Drosophila eugracilis],1.21E-144,452,Drosophila eugracilis,NT_037436 - CG7504 CDS translation
XP_017053393,53.20%,XP_017053393,PREDICTED: uncharacterized protein LOC108096355 [Drosophila ficusphila],9.48E-127,433,Drosophila ficusphila,NT_037436 - CG7504 CDS translation
XP_022216595,66.60%,XP_022216595,LOW QUALITY PROTEIN: helicase sen1-like [Drosophila obscura],8.43E-118,263,Drosophila obscura,NT_037436 - CG7504 CDS translation
XP_020814712,53.70%,XP_020814712,uncharacterized protein LOC110189082 [Drosophila serrata],2.60E-98,384,Drosophila serrata,NT_037436 - CG7504 CDS translation
XP_002024700,53.00%,XP_002024700,GL22479 [Drosophila persimilis],2.92E-94,345,Drosophila persimilis,NT_037436 - CG7504 CDS translation
XP_011198127,50.30%,XP_011198127,PREDICTED: uncharacterized protein LOC105222478 [Bactrocera dorsalis],3.15E-93,309,Bactrocera dorsalis,NT_037436 - CG7504 CDS translation
XP_019563453,31.80%,XP_019563453,PREDICTED: uncharacterized ATP-dependent helicase C29A10.10c isoform X2 [Aedes albopictus],6.73E-93,798,Aedes albopictus,NT_037436 - CG7504 CDS translation
XP_019525868,33.00%,XP_019525868,PREDICTED: uncharacterized protein LOC109397991 isoform X2 [Aedes albopictus],8.84E-93,726,Aedes albopictus,NT_037436 - CG7504 CDS translation
XP_021698786,32.40%,XP_021698786,uncharacterized protein LOC5572204 isoform X2 [Aedes aegypti],2.20E-92,726,Aedes aegypti,NT_037436 - CG7504 CDS translation
XP_001957574,49.60%,XP_001957574,"uncharacterized protein Dana_GF10480, isoform A [Drosophila ananassae]",6.39E-92,389,Drosophila ananassae,NT_037436 - CG7504 CDS translation
XP_315956,32.90%,XP_315956,AGAP005926-PA [Anopheles gambiae str. PEST],6.63E-92,746,Anopheles gambiae,NT_037436 - CG7504 CDS translation
XP_001851165,34.20%,XP_001851165,helicase sen1 [Culex quinquefasciatus],2.36E-89,605,Culex quinquefasciatus,NT_037436 - CG7504 CDS translation
XP_019525867,32.20%,XP_019525867,PREDICTED: uncharacterized protein LOC109397991 isoform X1 [Aedes albopictus],1.12E-88,748,Aedes albopictus,NT_037436 - CG7504 CDS translation
XP_019563452,31.10%,XP_019563452,PREDICTED: uncharacterized ATP-dependent helicase C29A10.10c isoform X1 [Aedes albopictus],1.32E-88,820,Aedes albopictus,NT_037436 - CG7504 CDS translation
XP_021698784,31.50%,XP_021698784,uncharacterized protein LOC5572204 isoform X1 [Aedes aegypti],2.92E-88,748,Aedes aegypti,NT_037436 - CG7504 CDS translation
XP_017100363,46.80%,XP_017100363,PREDICTED: titin isoform X2 [Drosophila bipectinata],8.34E-87,401,Drosophila bipectinata,NT_037436 - CG7504 CDS translation
XP_017016614,48.50%,XP_017016614,PREDICTED: uncharacterized protein LOC108070573 isoform X1 [Drosophila kikkawai],1.32E-86,384,Drosophila kikkawai,NT_037436 - CG7504 CDS translation
XP_017016613,47.40%,XP_017016613,PREDICTED: uncharacterized protein LOC108070572 [Drosophila kikkawai],1.32E-86,397,Drosophila kikkawai,NT_037436 - CG7504 CDS translation
XP_020814710,48.40%,XP_020814710,uncharacterized protein LOC110189080 [Drosophila serrata],1.88E-86,394,Drosophila serrata,NT_037436 - CG7504 CDS translation
EAT38516,36.10%,EAT38516,AAEL009618-PA [Aedes aegypti],3.82E-86,561,Aedes aegypti,NT_037436 - CG7504 CDS translation
XP_026464490,36.50%,XP_026464490,uncharacterized ATP-dependent helicase C29A10.10c [Ctenocephalides felis],6.09E-86,524,Ctenocephalides felis,NT_037436 - CG7504 CDS translation
KFB44445,32.10%,KFB44445,AGAP005926-PA-like protein [Anopheles sinensis],8.64E-86,728,Anopheles sinensis,NT_037436 - CG7504 CDS translation
XP_017100362,46.30%,XP_017100362,PREDICTED: uncharacterized protein LOC108127676 isoform X1 [Drosophila bipectinata],2.87E-85,401,Drosophila bipectinata,NT_037436 - CG7504 CDS translation
XP_021916612,36.60%,XP_021916612,uncharacterized protein LOC110828310 [Zootermopsis nevadensis],8.66E-83,551,Zootermopsis nevadensis,NT_037436 - CG7504 CDS translation
XP_023709577,31.20%,XP_023709577,probable helicase senataxin isoform X3 [Cryptotermes secundus],7.04E-82,748,Cryptotermes secundus,NT_037436 - CG7504 CDS translation
XP_023709575,31.60%,XP_023709575,probable helicase senataxin isoform X1 [Cryptotermes secundus],1.99E-81,757,Cryptotermes secundus,NT_037436 - CG7504 CDS translation
XP_023709576,31.60%,XP_023709576,probable helicase senataxin isoform X2 [Cryptotermes secundus],2.02E-81,757,Cryptotermes secundus,NT_037436 - CG7504 CDS translation
XP_026285273,32.30%,XP_026285273,uncharacterized protein LOC113211180 [Frankliniella occidentalis],4.16E-80,732,Frankliniella occidentalis,NT_037436 - CG7504 CDS translation
XP_015520979,30.20%,XP_015520979,PREDICTED: helicase sen1 [Neodiprion lecontei],1.21E-78,765,Neodiprion lecontei,NT_037436 - CG7504 CDS translation
ETN59028,34.60%,ETN59028,hypothetical protein AND_009343 [Anopheles darlingi],3.18E-78,558,Anopheles darlingi,NT_037436 - CG7504 CDS translation
XP_022231026,53.10%,XP_022231026,uncharacterized protein LOC111079982 isoform X2 [Drosophila obscura],4.66E-77,318,Drosophila obscura,NT_037436 - CG7504 CDS translation
EFN77064,30.60%,EFN77064,Probable helicase senataxin [Harpegnathos saltator],7.81E-77,767,Harpegnathos saltator,NT_037436 - CG7504 CDS translation
XP_012270150,31.10%,XP_012270150,probable helicase senataxin [Orussus abietinus],2.20E-76,746,Orussus abietinus,NT_037436 - CG7504 CDS translation
XP_011150742,30.60%,XP_011150742,probable helicase senataxin [Harpegnathos saltator],4.06E-76,767,Harpegnathos saltator,NT_037436 - CG7504 CDS translation
KMQ91868,29.90%,KMQ91868,helicase senataxin [Lasius niger],6.79E-76,763,Lasius niger,NT_037436 - CG7504 CDS translation
XP_024885343,28.90%,XP_024885343,uncharacterized protein LOC112463276 isoform X1 [Temnothorax curvispinosus],1.34E-75,803,Temnothorax curvispinosus,NT_037436 - CG7504 CDS translation
XP_018362590,30.40%,XP_018362590,PREDICTED: probable helicase senataxin [Trachymyrmex cornetzi],2.33E-75,742,Trachymyrmex cornetzi,NT_037436 - CG7504 CDS translation
XP_011693066,31.20%,XP_011693066,PREDICTED: probable helicase senataxin isoform X2 [Wasmannia auropunctata],3.68E-75,740,Wasmannia auropunctata,NT_037436 - CG7504 CDS translation
